title,summary,release_date,genre,director,duration,imdb_id,country,sitelinks,wikipedia_link,year
Saw X,,2023-09-28T00:00:00Z,"drama film, horror film, crime film, mystery film, thriller film",Kevin Greutert,118,tt21807222,,31,https://en.wikipedia.org/wiki/Saw_X,2023
American Fiction,,2023-09-08T00:00:00Z,"drama film, film based on a novel",Cord Jefferson,117,tt23561236,,31,https://en.wikipedia.org/wiki/American_Fiction,2023
"Ruby Gillman, Teenage Kraken",,2023-06-28T00:00:00Z,"comedy film, action film, adventure film, family film, children's film, speculative fiction film",Kirk DeMicco,90,tt27155038,,31,https://en.wikipedia.org/wiki/Ruby_Gillman%2C_Teenage_Kraken,2023
Operation Fortune: Ruse de guerre,,2023-01-05T00:00:00Z,"action film, spy film, thriller film, action comedy film",Guy Ritchie,114,tt7985704,,30,https://en.wikipedia.org/wiki/Operation_Fortune%3A_Ruse_de_guerre,2023
Expend4bles,,2023-09-21T00:00:00Z,"action film, war film, thriller film",Scott Waugh,103,tt3291150,,30,https://en.wikipedia.org/wiki/Expend4bles,2023
Teenage Mutant Ninja Turtles: Mutant Mayhem,,2023-09-07T00:00:00Z,"ninja film, comedy film, action film, animated film, adventure film, superhero film",Jeff Rowe,99,tt8589698,,30,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles%3A_Mutant_Mayhem,2023
Knock at the Cabin,,2023-02-02T00:00:00Z,"horror film, science fiction film, post-apocalyptic film, thriller film, film based on book",M. Night Shyamalan,100,tt15679400,,30,https://en.wikipedia.org/wiki/Knock_at_the_Cabin,2023
Creed III,,2023-03-01T00:00:00Z,"drama film, boxing film",Michael B. Jordan,116,tt11145118,,30,https://en.wikipedia.org/wiki/Creed_III,2023
May December,,2023-05-20T00:00:00Z,"drama film, romance film",Todd Haynes,113,tt13651794,,30,https://en.wikipedia.org/wiki/May_December,2023
Nimona,,2023-06-23T00:00:00Z,"fantasy film, comedy film, action film, adventure film, science fiction film, family film, LGBT-related film","Troy Quane, Nick Bruno",102,tt19500164,,30,https://en.wikipedia.org/wiki/Nimona,2023
Peter Pan & Wendy,,2023-04-28T00:00:00Z,"fantasy film, action film, adventure film, romance film, family film, cinematic fairy tale, thriller film",David Lowery,106,tt5635026,,29,https://en.wikipedia.org/wiki/Peter_Pan_%26_Wendy,2023
